N,Z,E,U(E),known,A,N-Z,N/Z
31,20,8476.9135,0.0102,1,51,11,1.55
30,21,8597.2213,0.0493,1,51,9,1.4285714285714286
29,22,8708.9912,0.0095,1,51,7,1.3181818181818181
28,23,8742.0852,0.0019,1,51,5,1.2173913043478262
27,24,8711.9923,0.0033,1,51,3,1.125
26,25,8633.7602,0.006,1,51,1,1.04
25,26,8460.4977,0.0274,1,51,-1,0.9615384615384616
24,27,8193.2549,0.9498,1,51,-3,0.8888888888888888
23,28,7870.0,10.0,0,51,-5,0.8214285714285714
35,17,7386.0,13.0,0,52,18,2.0588235294117645
34,18,7827.0,12.0,0,52,16,1.8888888888888888
33,19,8115.0303,0.6449,1,52,14,1.736842105263158
32,20,8429.3821,0.0129,1,52,12,1.6
31,21,8534.6695,0.0591,1,52,10,1.4761904761904763
30,22,8691.8193,0.0528,1,52,8,1.3636363636363635
29,23,8714.569,0.0031,1,52,6,1.2608695652173914
28,24,8775.9946,0.0022,1,52,4,1.1666666666666667
27,25,8670.4087,0.0025,1,52,2,1.08
26,26,8609.6079,0.0035,1,52,0,1.0
25,27,8325.5606,0.1016,1,52,-2,0.9259259259259259
24,28,8083.8977,1.5943,1,52,-4,0.8571428571428571
23,29,7671.0,12.0,0,52,-6,0.7931034482758621
35,18,7677.0,13.0,0,53,17,1.9444444444444444
34,19,8022.8488,2.109,1,53,15,1.7894736842105263
33,20,8330.5778,0.826,1,53,13,1.65
32,21,8492.8325,0.3339,1,53,11,1.5238095238095237
31,22,8631.1256,0.0545,1,53,9,1.4090909090909092
30,23,8710.1425,0.0585,1,53,7,1.3043478260869565
29,24,8760.2103,0.0022,1,53,5,1.2083333333333333
28,25,8734.1798,0.0065,1,53,3,1.12
27,26,8648.7985,0.0315,1,53,1,1.0384615384615385
26,27,8477.6578,0.0326,1,53,-1,0.9629629629629629
25,28,8217.0749,0.4745,1,53,-3,0.8928571428571429
24,29,7891.0,9.0,0,53,-5,0.8275862068965517
36,18,7578.0,15.0,0,54,18,2.0
35,19,7891.0,7.0,0,54,16,1.8421052631578947
34,20,8247.4967,0.897,1,54,14,1.7
33,21,8404.8115,0.2588,1,54,12,1.5714285714285714
32,22,8599.6917,0.2932,1,54,10,1.4545454545454546
31,23,8662.1382,0.207,1,54,8,1.3478260869565217
30,24,8777.9672,0.0025,1,54,6,1.25
29,25,8737.9768,0.0186,1,54,4,1.16
28,26,8736.3846,0.0064,1,54,2,1.0769230769230769
27,27,8569.2199,0.0066,1,54,0,1.0
26,28,8393.0328,0.0862,1,54,-2,0.9285714285714286
25,29,8045.0,7.0,0,54,-4,0.8620689655172413
24,30,7742.0,4.0,0,54,-6,0.8
36,19,7792.0,9.0,0,55,17,1.894736842105263
35,20,8125.926,2.913,1,55,15,1.75
34,21,8333.3694,1.1347,1,55,13,1.619047619047619
33,22,8518.9696,0.525,1,55,11,1.5
32,23,8637.3391,0.4912,1,55,9,1.391304347826087
31,24,8731.9362,0.0042,1,55,7,1.2916666666666667
30,25,8765.0247,0.0047,1,55,5,1.2
29,26,8746.5981,0.0056,1,55,3,1.1153846153846154
